city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Fairwood (King Cnty),18477,1,0.013,0.054,93402,38.6,9.1,5.2,1.362,34.1,9946,19.8,11.6,38.5,0.1,0,0.817,0.6,0.4,0.565,0.091,0.176,0.004,0.005,0.003,0.062,0.094,4411,564500
Fairwood (Spokane Cnty),10059,1,0.133,0.063,64475,36.7,9.1,4,1.103,26.1,9200,20.6,11.8,40.9,0.088,0,0.82,0.38,0.47,0.868,0.001,0.009,0.015,0,0,0.026,0.08,2530,368800
Fall City,2187,1,-0.08,0.054,77933,46.5,9.2,5.3,1.757,28.9,9968,21.4,8.4,26.1,0.086,0,0.817,0.6,0.76,0.844,0,0.035,0,0,0,0,0.121,717,1056100
Farmington,126,1,-0.463,0.048,50938,45.7,8.9,4.3,0.781,15.3,24010,9,7.9,24.1,0.078,0,0.825,0.27,0.89,0.944,0,0,0.009,0,0,0.019,0.028,406,272900
Federal Way,99792,1,0.081,0.071,54186,36.4,9.3,5.5,1.341,33.6,10279,18.8,23.1,78.6,0.1,0,0.817,0.6,0.25,0.48,0.104,0.145,0.005,0.023,0.002,0.061,0.181,4334,542500
Felida,10389,1,0.081,0.062,100250,43.7,9.3,5.3,1.367,25.8,9471,20,8.7,29.7,0.084,0,0.776,0.47,0.51,0.836,0.014,0.07,0,0,0,0.034,0.046,3033,519100
Fern Prairie,1723,1,0.46,0.062,82946,38.7,9.1,5,1.352,26.4,10916,20,9.2,27.9,0.084,0,0.776,0.47,0.64,0.912,0,0,0.007,0,0,0.015,0.066,565,408800
Ferndale,14777,1,0.198,0.067,51944,36.6,9.2,5.3,1.187,20.3,10402,18.5,11.2,37.6,0.087,0,0.789,0.6,0.72,0.74,0.007,0.05,0.036,0,0.001,0.026,0.139,2223,559700
Fife,10869,1,0.163,0.068,57500,31.2,9.3,5.5,1.237,28.3,9498,19.8,47.4,95,0.099,0,0.8,0.6,0.43,0.46,0.089,0.14,0.012,0.047,0.001,0.08,0.172,1826,523100
Fife Heights,1833,1,0.016,0.068,74531,38.2,9.4,5.5,1.414,28.3,9498,19.8,8.2,25.2,0.099,0,0.8,0.6,0.42,0.699,0.067,0.081,0.009,0,0.001,0.032,0.11,2113,468400
Finley,5879,1,0.096,0.059,59266,35,8.9,5.5,1.013,27.7,10434,17.5,12.6,42.6,0.086,0,0.807,0.33,0.76,0.769,0.012,0.006,0.005,0.001,0,0.008,0.198,565,301100
